Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close,Volume,3MA,5MA
"Oct 23, 2024",57500.0,60000.0,57100.0,59100.0,59100.0,27300780,57200.0,57860.0
"Oct 22, 2024",58800.0,58900.0,57700.0,57700.0,57700.0,27582527,57800.0,57480.0
"Oct 21, 2024",59000.0,59600.0,58500.0,59000.0,59000.0,18514905,58600.0,57660.0
"Oct 18, 2024",59900.0,60100.0,59100.0,59200.0,59200.0,14420260,58633.333333333336,58320.0
"Oct 17, 2024",59400.0,60100.0,59100.0,59700.0,59700.0,23372873,59300.0,58940.0
"Oct 16, 2024",59400.0,60000.0,59200.0,59500.0,59500.0,23303268,59466.66666666666,59020.0
"Oct 15, 2024",61100.0,61400.0,60100.0,61000.0,61000.0,22715239,60066.66666666666,59680.0
"Oct 14, 2024",59500.0,61200.0,59400.0,59300.0,59300.0,20886249,59933.333333333336,59740.0
"Oct 11, 2024",59100.0,60100.0,59000.0,59300.0,59300.0,29623969,59866.66666666666,59760.0
"Oct 10, 2024",60100.0,60200.0,58900.0,58900.0,58900.0,45262214,59166.66666666666,59600.0
"Oct 8, 2024",60000.0,61000.0,59900.0,60300.0,60300.0,27411786,59500.0,59760.0
"Oct 7, 2024",60200.0,61900.0,59500.0,61000.0,61000.0,35066533,60066.66666666666,59760.0
"Oct 4, 2024",61000.0,61700.0,60500.0,60600.0,60600.0,24247578,60633.333333333336,60020.0
"Oct 2, 2024",60500.0,61900.0,59900.0,61300.0,61300.0,28473536,60966.66666666666,60420.0
"Sep 30, 2024",64200.0,64300.0,61500.0,61500.0,61500.0,32694163,61133.333333333336,60940.0
"Sep 27, 2024",64700.0,65400.0,64200.0,64200.0,64200.0,28433030,62333.333333333336,61720.0
"Sep 26, 2024",63900.0,64900.0,63700.0,64700.0,64339.0,37566015,63346.333333333336,62387.8
"Sep 25, 2024",63800.0,64200.0,62200.0,62200.0,61852.95,28652438,63463.98333333334,62638.39
"Sep 24, 2024",62800.0,63400.0,62400.0,63200.0,62847.37,26957500,63013.10666666667,62947.864
"Sep 23, 2024",62300.0,63500.0,62200.0,62600.0,62250.72,28542376,62317.013333333336,63098.008
"Sep 20, 2024",63800.0,64700.0,63000.0,63000.0,62648.48,32746056,62582.19,62787.704000000005
"Sep 19, 2024",64000.0,64400.0,62200.0,63100.0,62747.93,49402713,62549.043333333335,62469.490000000005
"Sep 13, 2024",65000.0,65500.0,64300.0,64400.0,64040.68,25045135,63145.69666666668,62907.036
"Sep 12, 2024",66000.0,66600.0,65200.0,66300.0,65930.07,35884106,64239.56,63523.576
