Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Aug 23, 2024",77700.00,78400.00,77500.00,77700.00,77266.47,9420306
"Aug 22, 2024",78700.00,78900.00,77800.00,78300.00,77863.12,8149101
"Aug 21, 2024",77900.00,78600.00,77800.00,78300.00,77863.12,7805598
"Aug 20, 2024",79500.00,79800.00,78700.00,78900.00,78459.77,10683836
"Aug 19, 2024",80100.00,80100.00,78000.00,78300.00,77863.12,14146565
"Aug 16, 2024",79400.00,80200.00,78700.00,80200.00,79752.52,22061478
"Aug 14, 2024",77400.00,77800.00,77000.00,77200.00,76769.26,13246168
"Aug 13, 2024",76500.00,76600.00,75500.00,76100.00,75675.39,10716261
"Aug 12, 2024",75200.00,75900.00,74800.00,75500.00,75078.74,9839259
"Aug 9, 2024",75700.00,75800.00,74200.00,74700.00,74283.20,16388222
"Aug 8, 2024",73200.00,73900.00,72500.00,73400.00,72990.46,28414729
"Aug 7, 2024",73000.00,76000.00,72800.00,74700.00,74283.20,32710428
"Aug 6, 2024",74900.00,75300.00,72300.00,72500.00,72095.48,47295226
"Aug 5, 2024",76700.00,76900.00,70200.00,71400.00,71001.62,54608790
"Aug 2, 2024",81000.00,81400.00,79500.00,79600.00,79155.87,25800275
"Aug 1, 2024",86000.00,86100.00,83100.00,83100.00,82636.34,20900338
"Jul 31, 2024",81200.00,83900.00,80900.00,83900.00,83431.88,20744323
"Jul 30, 2024",80400.00,81000.00,80000.00,81000.00,80548.05,13169636
"Jul 29, 2024",81600.00,82000.00,81100.00,81200.00,80746.94,12797136
"Jul 26, 2024",80700.00,81300.00,80400.00,80900.00,80448.61,14508334
"Jul 25, 2024",80400.00,81000.00,80100.00,80400.00,79951.40,20323811
"Jul 24, 2024",82900.00,83300.00,81900.00,82000.00,81542.48,16939083
"Jul 23, 2024",84200.00,84700.00,83400.00,83900.00,83431.88,15766389
"Jul 22, 2024",84400.00,84900.00,82600.00,83000.00,82536.89,18987560
"Jul 19, 2024",85600.00,86100.00,84100.00,84400.00,83929.09,18569122
"Jul 18, 2024",83800.00,86900.00,83800.00,86900.00,86415.13,24721790
"Jul 17, 2024",87100.00,88000.00,86400.00,86700.00,86216.25,18186490
"Jul 16, 2024",86900.00,88000.00,86700.00,87700.00,87210.67,16166688
"Jul 15, 2024",84700.00,87300.00,84100.00,86700.00,86216.25,25193080
"Jul 12, 2024",85900.00,86100.00,84100.00,84400.00,83929.09,26344386
"Jul 11, 2024",88500.00,88800.00,86700.00,87600.00,87111.23,24677608
"Jul 10, 2024",87600.00,88000.00,87100.00,87800.00,87310.11,17813847
"Jul 9, 2024",87800.00,88200.00,86900.00,87800.00,87310.11,21336201
"Jul 8, 2024",87900.00,88600.00,86900.00,87400.00,86912.34,24035809
"Jul 5, 2024",85600.00,87100.00,85200.00,87100.00,86614.02,45791193
"Jul 4, 2024",82900.00,84700.00,82400.00,84600.00,84127.97,43857229
"Jul 3, 2024",82300.00,82300.00,81000.00,81800.00,81343.59,11440328
"Jul 2, 2024",82500.00,82600.00,81500.00,81800.00,81343.59,14471904
"Jul 1, 2024",81500.00,82100.00,81300.00,81800.00,81343.59,11317202
"Jun 28, 2024",81900.00,81900.00,80800.00,81500.00,81045.27,9455929
"Jun 27, 2024",361.00 Dividend,361.00 Dividend,361.00 Dividend,361.00 Dividend,361.00 Dividend,361.00 Dividend
"Jun 27, 2024",81300.00,81600.00,80500.00,81600.00,81144.70,11739720
"Jun 26, 2024",80100.00,81400.00,79900.00,81300.00,80487.39,17783242
"Jun 25, 2024",80600.00,81800.00,80100.00,80800.00,79992.39,19088458
"Jun 24, 2024",79700.00,80900.00,79500.00,80600.00,79794.39,15454227
"Jun 21, 2024",80700.00,80800.00,80000.00,80000.00,79200.39,17907523
"Jun 20, 2024",81500.00,82200.00,81200.00,81600.00,80784.39,20288913
"Jun 19, 2024",81100.00,82500.00,80500.00,81200.00,80388.39,24168863
"Jun 18, 2024",78700.00,80200.00,78600.00,79800.00,79002.38,18207598
"Jun 17, 2024",79200.00,79500.00,78000.00,78100.00,77319.38,16123051
"Jun 14, 2024",79700.00,80500.00,79000.00,79600.00,78804.38,22926612
"Jun 13, 2024",78400.00,79000.00,77800.00,78600.00,77814.38,33763804
"Jun 12, 2024",75300.00,77100.00,75200.00,76500.00,75735.37,19246725
"Jun 11, 2024",75900.00,76000.00,75100.00,75200.00,74448.37,16971175
"Jun 10, 2024",76100.00,76600.00,75600.00,75700.00,74943.37,14598755
"Jun 7, 2024",78400.00,78600.00,77100.00,77300.00,76527.37,21189349
"Jun 5, 2024",78000.00,78000.00,76800.00,77400.00,76626.37,23177968
"Jun 4, 2024",74900.00,76100.00,74900.00,75300.00,74547.36,14098053
"Jun 3, 2024",74400.00,76400.00,74200.00,75700.00,74943.37,15706268
"May 31, 2024",74500.00,74700.00,73500.00,73500.00,72765.35,26198776
"May 30, 2024",74800.00,75200.00,73500.00,73500.00,72765.35,28551273
"May 29, 2024",77700.00,78200.00,75200.00,75200.00,74448.37,30244875
"May 28, 2024",76500.00,78000.00,76200.00,77600.00,76824.38,18539072
"May 27, 2024",75300.00,78200.00,74000.00,77200.00,76428.38,43825202
"May 24, 2024",76800.00,77000.00,75700.00,75900.00,75141.37,27891278
"May 23, 2024",77700.00,79100.00,77100.00,78300.00,77517.38,18728087
"May 22, 2024",78100.00,78700.00,77300.00,77700.00,76923.38,19521506
"May 21, 2024",78500.00,79000.00,78200.00,78400.00,77616.38,13690583
"May 20, 2024",78100.00,79100.00,77900.00,78900.00,78111.38,19456783
"May 17, 2024",78600.00,78800.00,77200.00,77400.00,76626.37,15918201
"May 16, 2024",80200.00,80300.00,78100.00,78200.00,77418.38,20989778
"May 14, 2024",78600.00,78800.00,77900.00,78300.00,77517.38,11763992
"May 13, 2024",79400.00,79900.00,77600.00,78400.00,77616.38,18652344
"May 10, 2024",80400.00,81100.00,78900.00,79200.00,78408.38,16976124
"May 9, 2024",81100.00,81500.00,79700.00,79700.00,78903.38,18759935
"May 8, 2024",80800.00,81400.00,80500.00,81300.00,80487.39,13089576
"May 7, 2024",79600.00,81300.00,79400.00,81300.00,80487.39,26238868
"May 3, 2024",79000.00,79000.00,77500.00,77600.00,76824.38,13151889
"May 2, 2024",77600.00,78600.00,77300.00,78000.00,77220.38,18900640
"Apr 30, 2024",77000.00,78500.00,76600.00,77500.00,76725.38,19007007
"Apr 29, 2024",77400.00,77600.00,76200.00,76700.00,75933.37,14664474
"Apr 26, 2024",77800.00,77900.00,76500.00,76700.00,75933.37,12755629
"Apr 25, 2024",77300.00,77500.00,76300.00,76300.00,75537.37,15549134
"Apr 24, 2024",77500.00,78800.00,77200.00,78600.00,77814.38,22166150
"Apr 23, 2024",76400.00,76800.00,75500.00,75500.00,74745.36,18717699
